id,id_produto,tipo,temperatura_ar,temperatura_processo,umidade_relativa,velocidade_rotacional,torque,desgaste_da_ferramenta,falha_predita,probabilidade_falha,FDF (Falha Desgaste Ferramenta)_predito,FDC (Falha Dissipacao Calor)_predito,FP (Falha Potencia)_predito,FTE (Falha Tensao Excessiva)_predito,FA (Falha Aleatoria)_predito
35260,L53432,L,300.8,310.3,90.0,1538,36.1,198,0.0,0.005264814780604985,0.0,0.0,0.0,0.0,0.0
35261,M19544,M,303.6,311.8,90.0,1421,44.8,101,0.0,0.009526035971778793,0.0,0.0,0.0,0.0,0.0
35262,M16591,M,298.3,307.9,90.0,1485,42.0,117,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35263,L51922,L,303.3,311.3,90.0,1592,33.7,14,0.0,0.007020162755106656,0.0,0.0,0.0,0.0,0.0
35264,L51701,L,302.4,310.4,90.0,1865,23.9,129,0.0,0.007020162755106656,0.0,0.0,0.0,0.0,0.0
35265,H35754,H,300.5,309.9,90.0,1397,45.9,210,0.0,0.03376743393499072,0.0,0.0,0.0,0.0,0.0
35266,H29990,H,297.7,309.7,90.0,1440,51.1,191,0.0,0.009804008901317043,0.0,0.0,0.0,0.0,0.0
35267,L52382,L,303.7,312.7,90.0,1335,51.1,161,0.0,0.049070522386205295,0.0,0.0,0.0,0.0,0.0
35268,M21223,M,300.0,309.6,90.0,1618,36.2,53,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35269,M15299,M,297.4,308.3,90.0,1535,34.6,51,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
35270,H32164,H,299.7,309.2,90.0,1456,40.6,182,0.0,0.0036659539813438872,0.0,0.0,0.0,0.0,0.0
35271,L54667,L,300.3,311.7,90.0,1707,33.6,158,0.0,0.0032289154749246124,0.0,0.0,0.0,0.0,0.0
35272,M20132,M,303.6,313.0,90.0,1396,38.2,117,0.0,0.0030658688740273473,0.0,0.0,0.0,0.0,0.0
35273,L52833,L,302.4,311.7,90.0,1495,36.8,215,0.0,0.014038167812207071,0.0,0.0,0.0,0.0,0.0
35274,L51179,L,302.0,311.0,90.0,1420,45.9,144,0.0,0.004900166989856316,0.0,0.0,0.0,0.0,0.0
35275,L53213,L,300.6,310.9,90.0,1471,37.9,86,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35276,L47762,L,297.8,309.7,90.0,1341,49.2,208,0.0,0.06310704282584416,0.0,0.0,0.0,0.0,0.0
35277,L57110,L,298.3,308.3,90.0,1452,45.5,63,0.0,0.002811081685151555,0.0,0.0,0.0,0.0,0.0
35278,L54231,L,300.6,310.4,90.0,1556,37.7,122,0.0,0.002755891106085785,0.0,0.0,0.0,0.0,0.0
35279,L55338,L,299.6,310.8,90.0,1400,40.8,118,0.0,0.0032160942703842346,0.0,0.0,0.0,0.0,0.0
35280,M24756,M,298.8,309.3,90.0,1618,35.1,173,0.0,0.003152875417304667,0.0,0.0,0.0,0.0,0.0
35281,L49429,L,299.2,308.5,90.0,1442,46.5,11,0.0,0.002811081685151555,0.0,0.0,0.0,0.0,0.0
35282,L51820,L,303.1,311.2,90.0,1435,40.1,219,0.0,0.05539671987360833,0.0,0.0,0.0,0.0,0.0
35283,L56665,L,298.9,309.6,90.0,1589,34.2,197,0.0,0.005264814780604985,0.0,0.0,0.0,0.0,0.0
35284,L52127,L,303.7,312.7,90.0,1395,53.9,123,0.0,0.006238597462653482,0.0,0.0,0.0,0.0,0.0
35285,H39334,H,298.5,308.7,90.0,1450,43.9,28,0.0,0.002811081685151555,0.0,0.0,0.0,0.0,0.0
35286,L49143,L,297.7,307.5,90.0,1379,43.3,111,0.0,0.009922832824815774,0.0,0.0,0.0,0.0,0.0
35287,H37657,H,299.1,310.4,90.0,1369,54.5,104,0.0,0.026902357126763293,0.0,0.0,0.0,0.0,0.0
35288,L53770,L,301.7,310.7,90.0,1763,25.9,3,0.0,0.0027399451359920108,0.0,0.0,0.0,0.0,0.0
35289,L56027,L,297.5,308.9,90.0,1443,43.5,0,0.0,0.002690960566933088,0.0,0.0,0.0,0.0,0.0
